Month	Year	Full-time	Part-time	Grand Total
5	2003	91,859	45,820	137,679
6	2003	91,860	46,225	138,085
7	2003	91,791	45,991	137,782
8	2003	91,734	45,646	137,380
9	2003	90,540	45,987	136,527
10	2003	90,535	46,614	137,149
11	2003	89,234	47,321	136,555
12	2003	88,809	47,455	136,264
1	2004	88,666	46,758	135,424
2	2004	88,635	46,866	135,501
3	2004	88,859	46,636	135,495
4	2004	89,296	46,930	136,226
5	2004	89,768	46,901	136,669
6	2004	84,428	53,065	137,493
7	2004	84,714	53,408	138,122
8	2004	84,927	53,046	137,973
9	2004	83,127	53,045	136,172
10	2004	85,248	53,243	138,491
11	2004	85,505	54,281	139,786
12	2004	85,451	54,086	139,537
1	2005	85,524	53,424	138,948
2	2005	85,722	53,564	139,286
3	2005	86,072	53,945	140,017
4	2005	86,335	53,621	139,956
5	2005	86,652	53,910	140,562
6	2005	86,814	53,543	140,357
7	2005	87,027	53,580	140,607
8	2005	87,027	53,015	140,042
9	2005	87,077	52,992	140,069
10	2005	87,167	53,352	140,519
11	2005	87,240	54,031	141,271
12	2005	87,157	53,854	141,011
1	2006	87,101	53,127	140,228
2	2006	87,064	52,734	139,798
3	2006	87,092	52,827	139,919
4	2006	87,207	52,852	140,059
5	2006	82,974	52,335	135,309
6	2006	83,082	52,336	135,418
7	2006	83,218	52,421	135,639
8	2006	83,176	52,272	135,448
9	2006	83,268	52,609	135,877
10	2006	83,594	53,039	136,633
11	2006	83,581	54,295	137,876
12	2006	83,678	54,158	137,836
1	2007	83,585	53,197	136,782
2	2007	83,729	52,616	136,345
3	2007	89,349	52,233	141,582
4	2007	89,348	51,565	140,913
5	2007	89,597	51,211	140,808
6	2007	89,641	51,147	140,788
7	2007	89,878	51,143	141,021
8	2007	89,916	51,039	140,955
9	2007	89,960	51,163	141,123
10	2007	90,191	51,965	142,156
11	2007	90,626	52,659	143,285
12	2007	90,732	51,825	142,557
1	2008	90,816	51,101	141,917
2	2008	92,574	51,071	143,645
3	2008	92,668	51,025	143,693
4	2008	92,751	51,010	143,761
5	2008	94,284	50,840	145,124
6	2008	94,202	50,555	144,757
7	2008	94,188	50,162	144,350
8	2008	94,177	49,512	143,689
9	2008	94,320	49,190	143,510
10	2008	94,891	49,472	144,363
11	2008	95,163	49,568	144,731
12	2008	94,955	49,282	144,237
1	2009	94,678	48,860	143,538
2	2009	94,387	48,501	142,888
3	2009	94,078	48,140	142,218
4	2009	93,618	47,830	141,448
5	2009	93,292	47,155	140,447
6	2009	92,822	46,931	139,753
7	2009	92,674	46,911	139,585
8	2009	92,618	46,731	139,349
9	2009	92,536	46,645	139,181
10	2009	92,406	47,021	139,427
11	2009	92,534	47,569	140,103
12	2009	92,514	47,223	139,737
1	2010	92,538	46,980	139,518
2	2010	92,734	47,075	139,809
3	2010	92,863	47,294	140,157
4	2010	93,073	47,666	140,739
5	2010	93,345	47,783	141,128
6	2010	93,473	48,003	141,476
7	2010	93,741	48,227	141,968
8	2010	94,140	48,162	142,302
9	2010	94,303	48,541	142,844
10	2010	94,980	47,589	142,569
11	2010	94,814	48,483	143,297
12	2010	95,081	48,243	143,324
1	2011	95,164	47,980	143,144
2	2011	95,250	47,775	143,025
3	2011	95,360	48,077	143,437
4	2011	95,464	48,306	143,770
5	2011	95,734	48,333	144,067
6	2011	95,838	48,448	144,286
7	2011	100,447	48,303	148,750
8	2011	100,691	48,265	148,956
9	2011	100,732	48,488	149,220
10	2011	100,823	48,829	149,652
11	2011	102,387	49,106	151,493
12	2011	102,477	48,808	151,285
1	2012	102,477	48,808	151,285
2	2012	102,716	48,592	151,308
3	2012	102,676	48,571	151,247
4	2012	102,465	48,454	150,919
5	2012	102,498	48,450	150,948
6	2012	102,438	48,368	150,806
7	2012	112,187	48,205	160,392
8	2012	111,361	47,973	159,334
9	2012	111,430	48,128	159,558
10	2012	112,118	48,201	160,319
11	2012	112,242	48,570	160,812
12	2012	113,231	48,336	161,567
1	2013	113,071	48,468	161,539
2	2013	113,373	48,630	162,003
3	2013	113,606	48,744	162,350
4	2013	113,810	48,980	162,790
5	2013	113,154	49,349	162,503
6	2013	112,768	49,529	162,297
7	2013	112,594	49,316	161,910
8	2013	112,520	49,253	161,773
9	2013	112,887	49,299	162,186
10	2013	112,953	49,681	162,634
11	2013	111,648	50,063	161,711
12	2013	112,875	49,815	162,690
1	2014	112,568	49,869	162,437
2	2014	112,281	50,119	162,400
3	2014	112,519	50,268	162,787
4	2014	112,814	50,479	163,293
5	2014	112,730	50,762	163,492
6	2014	112,701	50,690	163,391
7	2014	112,786	50,708	163,494
8	2014	113,266	50,528	163,794
9	2014	113,640	51,108	164,748
10	2014	114,043	52,757	166,800
11	2014	114,148	53,540	167,688
12	2014	114,555	53,657	168,212
1	2015	114,447	53,349	167,796
2	2015	114,725	53,006	167,731
3	2015	114,938	52,739	167,677
4	2015	115,407	52,515	167,922
5	2015	115,146	52,697	167,843
6	2015	115,825	52,839	168,664
7	2015	115,506	53,066	168,572
8	2015	115,422	52,537	167,959
9	2015	115,644	52,481	168,125
10	2015	116,000	53,693	169,693
11	2015	116,172	54,607	170,779
12	2015	116,146	55,149	171,295
1	2016	116,025	54,258	170,283
2	2016	116,472	54,408	170,880
3	2016	115,823	54,169	169,992
4	2016	115,901	53,963	169,864
5	2016	162,104	62,736	224,840
6	2016	161,865	62,719	224,584
7	2016	162,137	62,980	225,117
8	2016	162,205	62,318	224,523
9	2016	162,338	63,075	225,413
10	2016	162,159	62,845	225,004
11	2016	162,849	63,564	226,413
12	2016	162,812	63,590	226,402
1	2017	162,859	62,965	225,824
2	2017	162,764	62,805	225,569
3	2017	163,720	62,151	225,871
4	2017	164,180	62,244	226,424
5	2017	164,887	61,446	226,333
6	2017	165,117	61,564	226,681
7	2017	165,490	61,143	226,633
8	2017	165,179	60,633	225,812
9	2017	165,282	61,058	226,340
10	2017	166,680	58,979	225,659
11	2017	167,591	60,844	228,435
12	2017	167,672	61,068	228,740
1	2018	167,107	60,786	227,893
2	2018	167,773	60,678	228,451
3	2018	167,748	60,938	228,686
4	2018	169,078	60,849	229,927
5	2018	170,075	61,049	231,124
6	2018	170,913	59,729	230,642
7	2018	171,393	60,100	231,493
8	2018	173,506	59,901	233,407
9	2018	174,444	61,775	236,219
10	2018	175,429	62,353	237,782
11	2018	177,119	64,278	241,397
12	2018	177,354	64,419	241,773
1	2019	177,657	64,243	241,900
2	2019	176,830	64,126	240,956
3	2019	178,041	63,835	241,876
4	2019	178,131	63,474	241,605
5	2019	178,809	63,828	242,637
6	2019	181,545	63,968	245,513
7	2019	181,205	63,818	245,023
8	2019	181,222	63,802	245,024
9	2019	181,652	63,431	245,083
10	2019	182,948	63,563	246,511
11	2019	183,804	64,089	247,893
12	2019	183,740	64,215	247,955
1	2020	182,843	63,554	246,397
2	2020	183,306	64,108	247,414
3	2020	182,118	62,892	245,010
4	2020	180,509	62,769	243,278
5	2020	180,169	62,446	242,615
6	2020	180,412	66,080	246,492
7	2020	186,024	62,378	248,402
8	2020	188,054	62,271	250,325
9	2020	191,635	63,049	254,684
10	2020	195,226	65,080	260,306
11	2020	198,666	68,100	266,766
12	2020	200,291	69,334	269,625
1	2021	200,666	68,357	269,023
2	2021	201,991	67,520	269,511
3	2021	204,406	65,977	270,383
4	2021	205,000	64,402	269,402
5	2021	206,217	63,333	269,550
6	2021	205,921	62,426	268,347
7	2021	205,306	61,665	266,971
8	2021	205,071	60,569	265,640
9	2021	203,324	59,434	262,758
10	2021	203,850	60,133	263,983
11	2021	193,946	71,852	265,798
12	2021	199,548	60,026	259,574
1	2022	199,295	59,728	259,023
2	2022	199,202	59,318	258,520
3	2022	198,993	59,048	258,041
4	2022	199,828	58,334	258,162
5	2022	200,957	57,326	258,283
6	2022	201,476	57,219	258,695
7	2022	202,818	57,147	259,965
8	2022	202,996	56,192	259,188
9	2022	202,666	56,579	259,245
10	2022	202,665	57,642	260,307
11	2022	201,775	58,299	260,074
12	2022	201,058	58,685	259,743
1	2023	200,291	58,542	258,833
