Month	Year	Full-time	Part-time	Grand Total
8	1998	75,472	13,850	89,322
9	1998	74,643	14,435	89,078
10	1998	75,109	14,446	89,555
11	1998	75,426	14,497	89,923
12	1998	76,343	14,117	90,460
1	1999	75,251	14,720	89,971
2	1999	76,231	14,707	90,938
3	1999	76,682	14,590	91,272
4	1999	77,024	14,881	91,905
5	1999	77,645	15,042	92,687
6	1999	78,217	15,118	93,335
7	1999	78,872	15,447	94,319
8	1999	80,007	14,901	94,908
9	1999	80,737	15,502	96,239
10	1999	80,987	15,360	96,347
11	1999	81,162	15,281	96,443
12	1999	82,264	14,935	97,199
1	2000	81,420	15,474	96,894
2	2000	81,769	15,585	97,354
3	2000	82,755	15,541	98,296
4	2000	82,701	15,439	98,140
5	2000	83,064	15,459	98,523
6	2000	83,605	15,562	99,167
7	2000	83,767	15,529	99,296
8	2000	85,140	14,676	99,816
9	2000	84,636	15,143	99,779
10	2000	85,069	15,035	100,104
11	2000	85,675	14,995	100,670
12	2000	86,683	14,536	101,219
1	2001	86,075	15,133	101,208
2	2001	86,275	15,083	101,358
3	2001	87,025	15,183	102,208
4	2001	87,286	15,140	102,426
5	2001	87,156	15,162	102,318
6	2001	87,286	15,140	102,426
7	2001	88,665	15,177	103,842
8	2001	88,665	14,177	102,842
9	2001	84,660	13,279	97,939
10	2001	84,016	12,838	96,854
11	2001	78,113	13,298	91,411
12	2001	77,692	13,384	91,076
1	2002	90,518	14,972	105,490
2	2002	89,655	14,577	104,232
3	2002	88,806	14,575	103,381
4	2002	88,586	14,421	103,007
5	2002	91,364	15,014	106,378
6	2002	91,332	15,247	106,579
7	2002	90,721	15,817	106,538
8	2002	91,839	15,472	107,311
9	2002	91,774	15,295	107,069
10	2002	91,521	15,447	106,968
11	2002	88,988	14,826	103,814
12	2002	88,256	13,857	102,113
1	2003	87,837	13,777	101,614
2	2003	88,256	13,857	102,113
3	2003	83,708	13,686	97,394
4	2003	82,511	13,571	96,082
5	2003	81,207	13,372	94,579
6	2003	78,935	13,146	92,081
7	2003	76,097	12,299	88,396
8	2003	75,801	12,236	88,037
9	2003	74,646	12,037	86,683
10	2003	73,599	11,569	85,168
11	2003	73,858	11,611	85,469
12	2003	73,858	11,611	85,469
1	2004	73,581	11,254	84,835
2	2004	73,618	11,136	84,754
3	2004	73,455	11,186	84,641
4	2004	73,520	11,187	84,707
5	2004	73,596	11,149	84,745
6	2004	73,480	11,169	84,649
7	2004	74,259	11,145	85,404
8	2004	74,245	11,137	85,382
9	2004	73,636	11,060	84,696
10	2004	73,209	10,905	84,114
11	2004	73,287	10,986	84,273
12	2004	72,260	11,028	83,288
1	2005	71,232	10,990	82,222
2	2005	70,592	10,910	81,502
3	2005	70,184	11,007	81,191
4	2005	69,892	11,063	80,955
5	2005	70,495	11,136	81,631
6	2005	70,306	11,282	81,588
7	2005	74,087	12,814	86,901
8	2005	70,200	11,409	81,609
9	2005	69,864	11,192	81,056
10	2005	69,571	11,063	80,634
11	2005	69,466	11,111	80,577
12	2005	69,130	11,388	80,518
1	2006	69,028	11,337	80,365
2	2006	68,982	11,268	80,250
3	2006	68,825	11,204	80,029
4	2006	68,792	10,998	79,790
5	2006	68,205	11,252	79,457
6	2006	68,069	10,712	78,781
7	2006	67,954	10,691	78,645
8	2006	68,037	10,585	78,622
9	2006	67,640	10,543	78,183
10	2006	67,438	10,566	78,004
11	2006	67,861	10,566	78,427
12	2006	67,768	10,402	78,170
1	2007	67,521	10,345	77,866
2	2007	67,384	10,264	77,648
3	2007	67,809	10,739	78,548
4	2007	67,813	10,721	78,534
5	2007	67,870	10,710	78,580
6	2007	67,606	10,672	78,278
7	2007	67,583	10,643	78,226
8	2007	67,812	10,616	78,428
9	2007	67,939	10,514	78,453
10	2007	68,004	10,510	78,514
11	2007	67,849	10,873	78,722
12	2007	67,747	10,954	78,701
1	2008	67,834	10,898	78,732
2	2008	67,738	10,827	78,565
3	2008	67,694	10,799	78,493
4	2008	67,679	10,764	78,443
5	2008	67,902	10,732	78,634
6	2008	67,787	10,669	78,456
7	2008	67,771	10,667	78,438
8	2008	67,187	10,628	77,815
9	2008	65,522	10,179	75,701
10	2008	65,326	10,132	75,458
11	2008	65,143	9,990	75,133
12	2008	65,134	9,940	75,074
1	2009	64,987	9,917	74,904
2	2009	64,979	9,912	74,891
3	2009	64,977	9,913	74,890
4	2009	64,975	9,911	74,886
5	2009	63,500	9,832	73,332
6	2009	63,404	9,742	73,146
7	2009	63,258	9,664	72,922
8	2009	62,959	9,692	72,651
9	2009	62,917	9,604	72,521
10	2009	62,027	9,750	71,777
11	2009	61,680	9,666	71,346
12	2009	61,855	9,595	71,450
1	2010	61,983	9,300	71,283
2	2010	61,906	9,263	71,169
3	2010	61,485	9,363	70,848
4	2010	61,209	9,351	70,560
5	2010	61,094	9,342	70,436
6	2010	61,291	9,204	70,495
7	2010	61,184	9,161	70,345
8	2010	61,133	9,164	70,297
9	2010	60,829	9,083	69,912
10	2010	60,766	9,033	69,799
11	2010	60,843	9,036	69,879
12	2010	61,229	8,987	70,216
1	2011	61,197	8,966	70,163
2	2011	61,571	8,925	70,496
3	2011	61,709	8,983	70,692
4	2011	61,911	8,992	70,903
5	2011	61,832	9,038	70,870
6	2011	61,977	9,004	70,981
7	2011	62,053	9,016	71,069
8	2011	61,831	8,942	70,773
9	2011	61,838	8,909	70,747
10	2011	62,019	8,914	70,933
11	2011	61,921	8,872	70,793
12	2011	61,684	8,893	70,577
1	2012	61,435	8,865	70,300
2	2012	61,016	8,794	69,810
3	2012	61,544	7,851	69,395
4	2012	61,383	7,813	69,196
5	2012	61,111	7,738	68,849
6	2012	60,743	7,676	68,419
7	2012	60,029	8,390	68,419
8	2012	59,655	8,193	67,848
9	2012	59,352	8,089	67,441
10	2012	58,761	7,878	66,639
11	2012	57,783	7,347	65,130
12	2012	56,024	7,099	63,123
1	2013	55,890	7,072	62,962
2	2013	55,959	7,004	62,963
3	2013	55,519	6,973	62,492
4	2013	55,597	6,899	62,496
5	2013	55,420	6,915	62,335
6	2013	55,735	6,856	62,591
7	2013	55,637	6,837	62,474
8	2013	55,726	6,827	62,553
9	2013	55,462	6,828	62,290
10	2013	55,838	6,821	62,659
11	2013	56,038	6,847	62,885
12	2013	56,017	6,882	62,899
1	2014	56,245	6,881	63,126
2	2014	56,242	6,914	63,156
3	2014	56,372	6,926	63,298
4	2014	56,435	6,927	63,362
5	2014	56,288	6,918	63,206
6	2014	56,391	6,900	63,291
7	2014	56,480	6,964	63,444
8	2014	56,174	6,856	63,030
9	2014	56,419	6,819	63,238
10	2014	57,043	6,835	63,878
11	2014	57,208	6,812	64,020
12	2014	57,308	6,811	64,119
1	2015	57,549	6,900	64,449
2	2015	57,891	7,038	64,929
3	2015	58,443	7,294	65,737
4	2015	59,068	7,370	66,438
5	2015	59,529	7,390	66,919
6	2015	59,905	7,427	67,332
7	2015	90,786	12,080	102,866
8	2015	90,620	12,198	102,818
9	2015	90,592	12,215	102,807
10	2015	90,810	12,126	102,936
11	2015	91,294	12,133	103,427
12	2015	91,242	12,085	103,327
1	2016	91,482	12,054	103,536
2	2016	91,407	11,995	103,402
3	2016	91,694	12,058	103,752
4	2016	91,917	12,085	104,002
5	2016	92,372	12,112	104,484
6	2016	92,653	12,022	104,675
7	2016	92,797	12,022	104,819
8	2016	92,938	11,962	104,900
9	2016	93,022	12,030	105,052
10	2016	93,065	12,251	105,316
11	2016	93,349	12,154	105,503
12	2016	93,435	12,145	105,580
1	2017	93,400	12,179	105,579
2	2017	93,721	12,248	105,969
3	2017	94,139	12,312	106,451
4	2017	93,896	12,433	106,329
5	2017	94,281	12,494	106,775
6	2017	94,110	12,922	107,032
7	2017	94,325	12,982	107,307
8	2017	94,123	13,148	107,271
9	2017	94,096	13,165	107,261
10	2017	94,144	13,136	107,280
11	2017	94,110	13,115	107,225
12	2017	94,080	13,130	107,210
1	2018	94,256	13,151	107,407
2	2018	94,303	13,197	107,500
3	2018	94,756	13,303	108,059
4	2018	95,457	12,770	108,227
5	2018	96,153	12,750	108,903
6	2018	96,543	12,628	109,171
7	2018	96,407	12,538	108,945
8	2018	96,005	12,511	108,516
9	2018	95,964	12,450	108,414
10	2018	95,915	12,412	108,327
11	2018	95,215	12,358	107,573
12	2018	95,249	12,341	107,590
1	2019	94,446	12,353	106,799
2	2019	94,466	12,235	106,701
3	2019	94,993	12,279	107,272
4	2019	95,373	12,158	107,531
5	2019	95,595	12,178	107,773
6	2019	96,045	12,062	108,107
7	2019	95,806	12,012	107,818
8	2019	95,061	11,915	106,976
9	2019	95,069	11,912	106,981
10	2019	95,541	11,889	107,430
11	2019	95,225	11,899	107,124
12	2019	95,518	11,863	107,381
1	2020	95,612	11,840	107,452
2	2020	96,021	11,884	107,905
3	2020	97,373	11,735	109,108
4	2020	97,083	11,496	108,579
5	2020	96,062	11,284	107,346
6	2020	96,061	11,191	107,252
7	2020	95,792	11,236	107,028
8	2020	95,312	11,232	106,544
9	2020	95,197	10,973	106,170
10	2020	79,281	11,565	90,846
11	2020	78,761	11,613	90,374
12	2020	88,418	12,587	101,005
1	2021	87,926	12,483	100,409
2	2021	90,255	11,187	101,442
3	2021	90,243	11,060	101,303
4	2021	88,211	10,682	98,893
5	2021	86,714	10,951	97,665
6	2021	87,718	11,022	98,740
7	2021	88,130	11,023	99,153
8	2021	88,345	10,943	99,288
9	2021	86,522	10,968	97,490
10	2021	85,979	11,130	97,109
11	2021	86,112	11,414	97,526
12	2021	86,324	11,557	97,881
1	2022	87,377	11,823	99,200
2	2022	87,999	12,066	100,065
3	2022	89,059	12,453	101,512
4	2022	89,379	12,766	102,145
5	2022	90,332	12,814	103,146
6	2022	90,598	12,958	103,556
7	2022	90,647	12,944	103,591
8	2022	90,399	12,985	103,384
9	2022	90,867	12,861	103,728
10	2022	91,114	12,694	103,808
11	2022	91,439	12,625	104,064
12	2022	91,293	12,550	103,843
1	2023	92,038	12,507	104,545
